field,color
Сельское хозяйство,#9cd994
Безопасность,#ecb1d1
"Офис, дом",#e7ab74
"Издательство, полиграфия",#a8ecf2
"Бумажное производство, тара и упаковка",#ded374
"Перевозки, логистика, таможня",#d7beb1
"Бизнес, финансы, страхование, маркетинг и реклама",#c5c5f1
Экология,#bdeeca
Машиностроение,#f1e3a7
"Медицина, фармакология",#f0a8a1
Другое,#e7ebdf
Химия,#7de0b8
"Сырье, полуфабрикаты",#bdc69d
Легкая промышленность,#8ec2d7
"Продовольствие, пищевая промышленность",#d5ed88
"IT, компьютеры, связь",#d5c3d6
"Строительство, недвижимость и архитектура",#ddbd93
Электротехника,#aecfc6
Топливо и энергетика,#b8be74
Транспорт,#92c6a5
"Наука, исследования, образование",#7cddd5
"Спорт, отдых, туризм",#d0f0ab
"Деревообработка, лес",#e4bd6a
"Металлы, металлоизделия",#c0d5eb
