name,code
Алтайский край,RU-ALT
Амурская область,RU-AMU
Архангельская область,RU-ARK
Астраханская область,RU-AST
Белгородская область,RU-BEL
Брянская область,RU-BRY
Владимирская область,RU-VLA
Волгоградская область,RU-VGG
Вологодская область,RU-VLG
Воронежская область,RU-VOR
г. Москва,RU-MOW
г. Санкт-Петербург,RU-SPE
Еврейская АО,RU-YEV
Забайкальский край,RU-ZAB
Ивановская область,RU-IVA
Иркутская область,RU-IRK
Кабардино-Балкарская республика,RU-KB
Калининградская область,RU-KGD
Калужская область,RU-KLU
Камчатский край,RU-KAM
Карачаево-Черкесская республика,RU-KC
Кемеровская область,RU-KEM
Кировская область,RU-KIR
Костромская область,RU-KOS
Краснодарский край,RU-KDA
Красноярский край,RU-KYA
Курганская область,RU-KGN
Курская область,RU-KRS
Ленинградская область,RU-LEN
Липецкая область,RU-LIP
Магаданская область,RU-MAG
Московская область,RU-MOS
Мурманская область,RU-MUR
Ненецкий АО,RU-NEN
Нижегородская область,RU-NIZ
Новгородская область,RU-NGR
Новосибирская область,RU-NVS
Омская область,RU-OMS
Оренбургская область,RU-ORE
Орловская область,RU-ORL
Пензенская область,RU-PNZ
Пермский край,RU-PER
Приморский край,RU-PRI
Псковская область,RU-PSK
Республика Адыгея,RU-AD
Республика Алтай,RU-AL
Республика Башкортостан,RU-BA
Республика Бурятия,RU-BU
Республика Дагестан,RU-DA
Республика Ингушетия,RU-IN
Республика Калмыкия,RU-KL
Республика Карелия,RU-KR
Республика Коми,RU-KO
Республика Марий Эл,RU-ME
Республика Мордовия,RU-MO
Республика Саха (Якутия),RU-SA
Республика Северная Осетия-Алания,RU-SE
Республика Татарстан,RU-TA
Республика Тыва (Тува),RU-TY
Республика Удмуртия,RU-UD
Республика Хакасия,RU-KK
Ростовская область,RU-ROS
Рязанская область,RU-RYA
Самарская область,RU-SAM
Саратовская область,RU-SAR
Сахалинская область,RU-SAK
Свердловская область,RU-SVE
Смоленская область,RU-SMO
Ставропольский край,RU-STA
Тамбовская область,RU-TAM
Тверская область,RU-TVE
Томская область,RU-TOM
Тульская область,RU-TUL
Тюменская область,RU-TYU
Ульяновская область,RU-ULY
Хабаровский край,RU-KHA
Ханты-Мансийский АО,RU-KHM
Челябинская область,RU-CHE
Чеченская республика,RU-CE
Чувашская республика,RU-CU
Чукотский АО,RU-CHU
Ямало-Ненецкий АО,RU-YAN
Ярославская область,RU-YAR
