"lot_id";"tender_id";"name";"cost";"srcCost";"isDeleted";"lastCheckTime";"costPerUnit";"number";"unit";"region_id";"field_id";"company_id";"applyingAddress";"phase_id";"lotNumber"
"5053789";"3887152";"29ЭА-1-11. Оказание финансовых услуг по предоставлению кредитных ресурсов";"39000000";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5089827";"3929590";"Открытый аукцион в электронной форме на право заключения государственного контракта на выполнение мероприятий по утилизации пришедших в негодность пестицидов и агрохимикатов, находящихся в местах хранения, не имеющих собственников";"91397700";NULL;"0";"2015-07-11 03:18:18";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
"5103748";"3948516";"Выполнение работ по капитальному ремонту помещений библиотеки им. Чернышевского, филиал №28, по адресу: 344095, г. Ростов-на-Дону, ул. Вятская, 41";"3000000";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5136769";"3997439";"Ремонт автомобильной дороги 1 Р 208, 209 Тамбов – Пенза км 93 + 000 – км 100 + 000, Тамбовская область (восстановление изношенных покрытий)";"56201060";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5136771";"3997441";"Ремонт автомобильной дороги 1 Р 208, 209 Тамбов – Пенза км 72 + 000 – км 77 + 000, Тамбовская область (восстановление изношенных покрытий)";"44006800";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5663338";"4496846";"Открытый аукцион в электронной форме на право заключения государственного контракта на завершение работ по капитальному ремонту многоквартирного жилого дома по адресу: 9-я ул. Соколиной горы, д. 3 ";"81970190.82";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5695709";"4526642";"Капитальный ремонт электрооборудования насосной станции №2 инженерной защиты г.Лысково Нижегородской области ";"11002600";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5740749";"4573241";"выполнение строительных подрядных работ по капитальному ремонту административного здания отдела ЗАГС управления ЗАГС Ставропольского края по Грачевскому району ";"2700189";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5814115";"4638123";"Выполнение работ по корректировке проектной документации по объекту «Проектирование и реконструкция детского отделения №5 Самарской психиатрической больницы в Промышленном районе г. Самары, ул. Воронежская, д. 11 а» для министерства строительства и жилищно-коммунального хозяйства Самарской области ";"1001377";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5814116";"4638124";"Выполнение работ по корректировке проектной документации по объекту «Строительство 3-х этажного административного здания для размещения центра правопорядка в Железнодорожном районе городского округа Самара» для министерства строительства и жилищно-коммунального хозяйства Самарской области ";"1859103";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5863941";"4685713";"284ЭА-1-11. Оказание финансовых услуг по предоставлению кредитных ресурсов в форме возобновляемой кредитной линии с установлением лимита задолженности в размере 600 000 000 (шестьсот миллионов) рублей для финансирования дефицита областного бюджета и (или) погашения государственных долговых обязательств Нижегородской области ";"43800000";NULL;"0";"2015-07-11 00:43:17";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
"5863991";"4685720";"285ЭА-1-11. Оказание финансовых услуг по предоставлению кредитных ресурсов в форме возобновляемой кредитной линии с установлением лимита задолженности в размере 600 000 000 (шестьсот миллионов) рублей для финансирования дефицита областного бюджета и (или) погашения государственных долговых обязательств Нижегородской области ";"43800000";NULL;"0";"2015-07-11 00:43:11";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
"5878030";"4700500";"Ремонт кровли учебного корпуса №5 ";"1821604";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5878031";"4700501";"Устройство стропильной кровли открытого бассейна ";"1243200";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5907480";"4727694";"314ЭА-1-11 .Оказание финансовых услуг по предоставлению кредитных ресурсов в форме возобновляемой кредитной линии с установлением лимита задолженности в размере 600 000 000 (шестьсот миллионов) рублей для финансирования дефицита областного бюджета и (или) погашения государственных долговых обязательств Нижегородской области ";"43800000";NULL;"0";"2015-07-11 00:30:12";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
"6048795";"4848722";"Выполнение ремонтных работ ";"1186043.5";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6054472";"4858872";"поставка серверного и компьютерного оборудования для Управления государственной архивной службы Самарской области ";"4670000";NULL;"0";"2015-07-10 23:59:59";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
"6098616";"4940312";"поставка персональных компьютеров и оргтехники для ГУЗ ""Самарская областная клиническая больница им. М.И. Калинина"" ";"1560000";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6100661";"4921414";"Разработка, изготовление и поставка полиграфической и печатной продукции для нужд Думы городского округа Самара. ";"1750600";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6100667";"4921411";"Поставка расходных материалов, запасных частей и принадлежностей для копировальной и множительной техники для нужд Думы городского округа Самара. ";"1062800";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6100675";"4921406";"Кровельные работы ";"1800000";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6127166";"4956682";"выполнение работ по разработке проектно-сметной документации по реконструкции здания детского сада ""Колосок"" с. Пестравка Пестравского района Самарской области с надстройкой мансардного этажа ";"1700000";NULL;"1";"1999-12-31 16:00:00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6150841";"4916217";"360ЭА-1-11 . Оказание финансовых услуг по предоставлению кредитных ресурсов в форме возобновляемой кредитной линии с установлением лимита задолженности в размере 500 000 000 (пятьсот миллионов) рублей для финансирования дефицита областного бюджета и (или) погашения государственных долговых обязательств Нижегородской области ";"36500000";NULL;"0";"2015-06-30 03:11:43";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";NULL
