"type_id";"name";"caption";"plural"
"1";"konkurs";"Конкурс";"Конкурсы"
"2";"auction";"Аукцион";"Аукционы"
"3";"zapros";"Запрос котировок";"Запросы котировок"
"4";"elauction";"Электронный аукцион";"Электронные аукционы"
"5";"birga";"Биржа";"Биржи"
"6";"otbor";"Отбор";"Отборы"
"7";"interes";"Извещение о заинтересованности";"Извещения о заинтерисованности"
"8";"other";"Другое";
"9";"undefined";"Не определен";
"10";"exclusive";"Единственный поставщик";
"11";"offerRequest";"Запрос предложений";"Запросы предложений"
"12";"priceTest";"Анализ цен";"Анализы цен"
"13";"offerProposal";"Предложение делать оферты";"Предложения делать оферты"
"14";"smallPurchase";"Малая закупка";"Малые закупки"
"15";"closedPurchase";"Закрытая закупка";"Закрытые закупки"
"16";"private";"Частное объявление";"Частные объявления"
"17";"accredited";"Закупка у аккредитованного поставщика";"Закупки у аккредитованных поставщиков"
