"pk_value";"tender_id";"region_id"
"28693609";"3948516";"4945"
"28693301";"3997439";"5257"
"28693300";"3997441";"5257"
"28689764";"4526642";"4718"
"28688730";"4638123";"2841"
"28688731";"4638124";"5035"
"28688074";"4685713";"2831"
"28688068";"4685720";"2831"
"28687598";"4727694";"2831"
"28686411";"4858872";"2841"
"28686082";"4872501";"5062"
"27662436";"4878778";"2831"
"27661771";"4916217";"2831"
"27661457";"4921411";"5035"
"27661462";"4921414";"5035"
"27661178";"4940312";"2841"
"27660959";"4956682";"5059"
"27659906";"4996254";"2851"
"27658891";"5037544";"2841"
"27657871";"5057584";"2841"
"27655332";"5168332";"2851"
"27654027";"5199508";"4724"
"27653727";"5206307";"2841"
"27653547";"5213355";"2831"
"27653401";"5216599";"2831"
"27653300";"5217987";"2831"
"27653273";"5218021";"2831"
"27652892";"5226234";"3648"
"27652647";"5242197";"2841"
"27652646";"5242198";"2841"
"27652395";"5253633";"4682"
"27651397";"5323370";"2831"
"27651265";"5326961";"2831"
"27651228";"5327722";"3641"
"27651227";"5327722";"4370"
"27651222";"5328407";"3641"
"27651221";"5328407";"4370"
"27651037";"5336945";"3641"
"27651036";"5336945";"4370"
"27650797";"5349807";"4682"
"27650577";"5360092";"2831"
"27650489";"5366620";"2831"
"27646341";"5485340";"2831"
"27644883";"5489527";"2831"
"27644320";"5493254";"4721"
"27641392";"5512964";"4721"
"27637613";"5559937";"3641"
"27637612";"5559937";"4370"
"27626901";"5584333";"5060"
"27626118";"5591164";"2831"
"27625610";"5598513";"3641"
"27625609";"5598513";"4370"
"27624728";"5613960";"2841"
"27623726";"5634914";"2841"
"27623663";"5636452";"2841"
"27622436";"5655605";"3370"
"27622421";"5655608";"3370"
"27621202";"5672916";"2841"
"27617669";"5731059";"2841"
"27615953";"5759458";"5066"
"27611925";"5819741";"2841"
"27611772";"5820652";"4671"
"27611763";"5820695";"4706"
"27606393";"5907471";"5050"
"27605849";"5911824";"2841"
"27604088";"5932358";"5035"
"27601966";"5958380";"3790"
"27589612";"6023625";"2841"
"27589449";"6028472";"5035"
"27588977";"6048434";"2831"
"27588915";"6050948";"4307"
"27588867";"6052250";"5038"
"27587782";"6108588";"5284"
"27586666";"6155314";"2837"
"27585864";"6190469";"3138"
"27585863";"6190469";"3740"
"27585865";"6190469";"5060"
"27585624";"6200650";"2831"
"27585405";"6210029";"3370"
"27585404";"6210030";"3370"
"27584447";"6244583";"2841"
"27584254";"6270956";"2851"
"27583555";"6285344";"2851"
"27583389";"6290171";"2851"
"27583318";"6290879";"2851"
"27580552";"6356127";"4945"
"27580489";"6356508";"2841"
"27579640";"6368095";"5062"
"27578411";"6385536";"2841"
"27578228";"6390006";"2841"
"27577284";"6401075";"5847"
"27575930";"6408680";"2841"
"27574056";"6417938";"2831"
"27572909";"6440158";"2831"
"27572747";"6443379";"2831"
"27572138";"6452835";"2831"
"27570285";"6477180";"4673"
"27570268";"6477206";"5035"
"27570083";"6479698";"5480"
"27569320";"6492848";"2841"
"27568902";"6499827";"2841"
"27568689";"6501760";"5257"
"27568440";"6503756";"2837"
"27567913";"6513622";"4945"
"27566809";"6541485";"4706"
"27566563";"6544360";"2831"
"27566518";"6544853";"2841"
"27564220";"6597750";"2841"
"27563758";"6601980";"4671"
"27563211";"6620811";"4715"
"27562597";"6627037";"5035"
"27561633";"6647635";"2841"
"27561391";"6650342";"5067"
"27561254";"6651765";"5035"
"27559804";"6676111";"4671"
"27559511";"6682480";"2851"
"27559508";"6682483";"2851"
"27559507";"6682484";"2851"
"27559502";"6682514";"2851"
"27559497";"6682517";"2851"
"27558040";"6702928";"4682"
"27556253";"6736083";"2831"
"27555835";"6745634";"2841"
"27554291";"6772658";"2841"
"27553786";"6783762";"2831"
"27553334";"6789489";"5035"
"27553320";"6789521";"5035"
"27553244";"6790737";"5062"
"27552664";"6802093";"2831"
"27552653";"6802140";"5035"
"27551269";"6846316";"2841"
"27549554";"6885543";"5035"
"27549510";"6885613";"2841"
"27549273";"6886804";"2841"
"27546740";"6917573";"5060"
"27545107";"6931289";"2841"
"27544745";"6932498";"2851"
"27543833";"6955653";"2841"
"27543190";"6967534";"2851"
"27542509";"6976041";"2841"
"27542149";"6993336";"5035"
"27542146";"6993342";"5035"
"27541785";"6996395";"2841"
"28660795";"7064079";"2841"
"28660048";"7087514";"4951"
"28659011";"7111221";"2831"
"28658997";"7111863";"4095"
"28658646";"7116265";"2841"
"28658320";"7130006";"4716"
"28658305";"7130080";"2831"
"28658044";"7132751";"2851"
"28656818";"7154670";"2841"
"28656797";"7156415";"4716"
"28656572";"7166150";"5035"
"28656086";"7177885";"5035"
"28655387";"7198240";"2851"
"28655229";"7200311";"2851"
"28026632";"7227038";"3641"
"28026631";"7227038";"4370"
"28025682";"7233307";"2831"
"28025468";"7235346";"5035"
"28017251";"7325809";"2841"
"28017220";"7325921";"2831"
"28016242";"7339254";"3671"
"28012562";"7372095";"5035"
"28012034";"7388750";"4721"
"28011686";"7391886";"2831"
"28011346";"7397215";"5035"
"28011096";"7404692";"2841"
"28010161";"7418018";"5035"
"28009182";"7437016";"5035"
"28008843";"7439307";"2841"
"28008313";"7455207";"5060"
"28007933";"7459650";"2831"
"28007162";"7478427";"2831"
"28006804";"7481374";"4720"
"27992612";"7509513";"5062"
"27988438";"7516731";"2841"
"27988345";"7516947";"2841"
"27975497";"7537118";"2831"
"27964820";"7558112";"5035"
"27962378";"7561981";"2831"
"27959564";"7568847";"5035"
"27958138";"7583980";"5299"
"27958093";"7584115";"2831"
"27957268";"7606650";"2831"
"27957048";"7607404";"5035"
"27956494";"7621329";"4706"
"27956333";"7626318";"2841"
"27956060";"7629244";"2831"
"27955536";"7639181";"2841"
"27953311";"7674328";"4107"
"27953296";"7674367";"2831"
"27951477";"7693935";"4706"
"27951266";"7695710";"5035"
"27949631";"7719617";"2841"
"27949284";"7724847";"2841"
"27947939";"7739706";"2851"
"27947906";"7739776";"2851"
"27947497";"7743106";"2851"
"27947496";"7743117";"2851"
"27947483";"7743135";"2851"
"27947461";"7743248";"2851"
"27947388";"7743946";"5035"
"27947299";"7744149";"4726"
"27946189";"7754866";"5060"
"27944557";"7767209";"2785"
"27941733";"7787954";"4719"
"27928954";"7810312";"2851"
"27919696";"7842344";"4703"
"27916170";"7859406";"2851"
"27910722";"7911430";"2841"
"27910094";"7916595";"4945"
"27894726";"7963088";"2831"
"27891914";"7983420";"5035"
"27891115";"7991615";"3641"
"27891114";"7991615";"4370"
"27886880";"8018167";"2841"
"27884824";"8038599";"3775"
"27881112";"8052033";"5035"
"27878566";"8072565";"5035"
"27875610";"8092713";"5035"
"27875497";"8093421";"5035"
"27873050";"8112876";"2851"
"27870085";"8134912";"2831"
"27866646";"8159511";"2841"
"27866448";"8160399";"2778"
"27852496";"8290717";"5042"
"27848938";"8350122";"4094"
"27848101";"8362773";"2831"
"27846408";"8393181";"2831"
"27844271";"8433075";"2804"
"27843008";"8457700";"2839"
"27841623";"8481436";"5035"
"27840075";"8506994";"2841"
"27839992";"8507837";"2826"
"27839321";"8520767";"2831"
"27835312";"8547609";"4603"
"27834840";"8552582";"2841"
"27832109";"8581798";"2859"
"27829459";"8621629";"5433"
"27828364";"8642904";"2841"
"27825604";"8691162";"5061"
"27824159";"8721446";"2851"
"27824157";"8721453";"2851"
"27824155";"8721461";"2851"
"27820475";"8777652";"5433"
"27817969";"8813678";"2841"
"27817688";"8819751";"5035"
"27813058";"8891588";"2841"
"27812421";"8901131";"5035"
"27802791";"8990416";"5433"
"27802370";"8996601";"2851"
"27796017";"9053353";"2841"
"27795909";"9054538";"2851"
"27795907";"9054541";"2851"
"27795696";"9056212";"2851"
"27795635";"9056549";"2851"
"27795637";"9056551";"2851"
"27795223";"9060647";"3146"
"27792216";"9108562";"3130"
"27792140";"9109852";"3137"
"27792079";"9110624";"5035"
"27790977";"9132772";"2841"
"27785988";"9227812";"2841"
"27785391";"9240681";"3097"
"27782972";"9270977";"2780"
"27782035";"9283525";"2825"
"27780481";"9308937";"2831"
"27776295";"9379145";"3775"
"27775844";"9383784";"3629"
"27774959";"9394204";"4671"
"27771917";"9438480";"3714"
"27771351";"9451716";"2851"
"27770723";"9458580";"5035"
"27769717";"9477714";"3396"
"27768165";"9514121";"2827"
"27767711";"9518674";"2851"
"27767586";"9519355";"3143"
"27767213";"9526455";"2860"
"27765799";"9549895";"2859"
"27765633";"9555234";"2860"
"27765304";"9562604";"3690"
"27764374";"9578084";"5035"
"27760271";"9605740";"5035"
"27684175";"9709279";"4671"
"27683161";"9722712";"2814"
"27678163";"9806089";"4716"
"27676261";"9830023";"2831"
"27675011";"9853568";"2831"
"27673103";"9877495";"2830"
"27672172";"9893813";"3667"
"27670474";"9914332";"4417"
"27670036";"9918486";"2851"
"27669626";"9921686";"5035"
"27669281";"9927798";"4673"
"27668740";"9936744";"2851"
"27668537";"9937992";"2851"
"27668535";"9937997";"2851"
"27665786";"9971019";"4460"
"27665474";"9975919";"3667"
"28654152";"10004454";"2860"
"28654148";"10004457";"2860"
"12492738";"10009375";"2859"
"2501150";"10015564";"3097"
"12492769";"10021066";"2859"
"28652531";"10027656";"2830"
"10117546";"10063464";"2828"
"10117532";"10063717";"2828"
"28515510";"10065373";"2839"
"12492841";"10065521";"2859"
"28511972";"10103346";"4095"
"123890";"10143630";"3629"
