"region_id";"parent_region_id";"name";"genitive";"tendersCountActive";"tendersCountArchive";"timezone";"OLD_region_id";"first_parent_id";"nestedLevel";"pathToRoot";"longitude";"latitude";"extended"
"1";"0";" Россия";;"233492";"5745047";"0";NULL;NULL;"0";"1";NULL;NULL;"0"
"2";"0";"Белоруссия";;"26632";"258745";"0";NULL;NULL;"0";"2";NULL;NULL;"0"
"3";"0";"Казахстан";;"378250";"10346122";"0";NULL;NULL;"0";"3";NULL;NULL;"0"
"4";"0";"Туркменистан";;"98";"780";"0";NULL;NULL;"0";"4";NULL;NULL;"0"
"5";"0";"Украина";;"11965";"186610";"0";NULL;NULL;"0";"5";NULL;NULL;"0"
"6";"0";"Узбекистан";;"1310";"44421";"0";NULL;NULL;"0";"6";NULL;NULL;"0"
"7";"0";"Абхазия";;"12";"79";"0";NULL;NULL;"0";"7";NULL;NULL;"0"
"8";"0";"Южная Осетия";;"12";"45";"0";NULL;NULL;"0";"8";NULL;NULL;"0"
"9";"0";"Таджикистан";;"81";"557";"0";NULL;NULL;"0";"9";NULL;NULL;"0"
"10";"0";"Армения";;"102";"696";"0";NULL;NULL;"0";"10";NULL;NULL;"0"
"11";"0";"Киргизия";;"293";"20855";"0";NULL;NULL;"0";"11";NULL;NULL;"0"
"12";"0";"Азербайджан";;"24";"399";"0";NULL;NULL;"0";"12";NULL;NULL;"0"
"13";"0";"Латвия";;"1";"33";"0";NULL;NULL;"0";"13";NULL;NULL;"0"
"14";"0";"Молдова";;"233";"2107";"0";NULL;NULL;"0";"14";NULL;NULL;"0"
"15";"0";"Грузия";;"97";"374";"0";NULL;NULL;"0";"15";NULL;NULL;"0"
"16";"0";"Китай";;"0";"0";"0";NULL;NULL;"0";"16";NULL;NULL;"1"
"17";"0";"Европа";;"0";"0";"0";NULL;NULL;"0";"17";NULL;NULL;"1"
"18";"17";"Австрия";;"0";"0";"0";NULL;"17";"1";"17,18";NULL;NULL;"1"
"19";"17";"Албания";;"0";"0";"0";NULL;"17";"1";"17,19";NULL;NULL;"1"
"20";"17";"Андорра";;"0";"0";"0";NULL;"17";"1";"17,20";NULL;NULL;"1"
"21";"17";"Беларусь";;"0";"0";"0";NULL;"17";"1";"17,21";NULL;NULL;"1"
"22";"17";"Бельгия";;"0";"0";"0";NULL;"17";"1";"17,22";NULL;NULL;"1"
"23";"17";"Болгария";;"0";"0";"0";NULL;"17";"1";"17,23";NULL;NULL;"1"
"24";"17";"Босния и Герцеговина";;"0";"0";"0";NULL;"17";"1";"17,24";NULL;NULL;"1"
"25";"17";"Ватикан";;"0";"0";"0";NULL;"17";"1";"17,25";NULL;NULL;"1"
