"position_id";"name";"number";"unit";"lot_id";"tender_id";"isDeleted";"cost";"costPerUnit";"applyingAddress"
"2029401";"Характеристика объекта, конструктивные решения, перечень выполняемых строительно-монтажных работ";"0";;"8318787";"7111221";"0";NULL;NULL;NULL
"2072448";"Базарносызганский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072449";"Барышский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072450";"Вешкаймский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072451";"Инзенский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072452";"Карсунский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072453";"Кузоватовский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072454";"Майнский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072455";"Мелекесский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072456";"Николаевский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072457";"Новомалыклинский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072458";"Новоспасский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072459";"Павловский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072460";"Радищевский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072461";"Сенгилеевский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072462";"Старокулаткинский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072463";"Старомайнский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072464";"Сурский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072465";"Тереньгульский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072466";"Ульяновский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072467";"Цильнинский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072468";"Чердаклинский район";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072469";"город Барыш";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072470";"город Димитровград";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2072471";"город Ульяновск";"0";;"8340051";"7132751";"0";NULL;NULL;NULL
"2139549";"Наименование товара";"0";;"8404457";"7196462";"0";NULL;NULL;NULL
"2215361";"разработка и согласование ППР на ремонтные работы";"0";;"8439171";"7227038";"0";NULL;NULL;NULL
"2215362";"организация временного проезда на период ремонта дорожного полотна";"0";;"8439171";"7227038";"0";NULL;NULL;NULL
"2215363";"выборочный ремонт дорожного парапета из плит ТШ";"0";;"8439171";"7227038";"0";NULL;NULL;NULL
"2215364";"ремонт дорожного покрытия и тротуара";"0";;"8439171";"7227038";"0";NULL;NULL;NULL
"2231163";"Краткая характеристика объекта, перечень выполняемых работ на нулевом цикле";"0";;"8443119";"7233307";"0";NULL;NULL;NULL
"2255935";"Устройство подстилающих и выравнивающих слоев оснований из песчано-гравийной смеси";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255936";"Размостка плитных тротуаров и дорожек с разборкой";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255937";"Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из мелкозернистой асфальто-бетонной смеси, марка II, тип Б, толщиной 5 см";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255938";"Установка бортовых камней (поребрик) бетонных БР 100.20.8";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255939";"Разработка грунта с перемещением до 10 м бульдозерами мощностью 59 кВт (80л.с.), группа грунтов 2 (Вырезка растительного слоя толщ.30см)";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255940";"Устройство подстилающих и выравнивающих слоев оснований из песчано-гравийной смеси толщ. 60см с трамбованием";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255941";"Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из мелкозернистой асфальто-бетонной смеси, маркаII, тип Б, толщиной 5 см";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2255942";"Установка бортовых камней бетонных: при других видах покрытий БР 100.20.8.";"0";;"8457774";"7247038";"0";NULL;NULL;NULL
"2303880";"Картридж SAMSUNG SCX-6320D8 (SCX-6220/6320) 8k/*";"0";;"8490542";"7280680";"0";NULL;NULL;NULL
"2303881";"Фотобарабан SAMSUNG SCX-6320R2 (SCX-6220/6320) Drum Cart 20k*";"0";;"8490542";"7280680";"0";NULL;NULL;NULL
