"pk_value";"tender_id";"field_id"
"41715941";"10009375";"47354"
"16693259";"10015564";"45989"
"9418382";"10015574";"51351"
"41716137";"10021066";"47354"
"41716181";"10041179";"45216"
"8761740";"10059693";"46011"
"37271834";"10063464";"47958"
"37271799";"10063717";"47958"
"41716354";"10065521";"50452"
"5747174";"10078028";"45859"
"16263428";"10085819";"46011"
"5459621";"10108411";"48513"
"9418341";"10143630";"51351"
"41716446";"10147744";"45750"
"9418374";"10151681";"48489"
"1772311";"10192332";"46011"
"9418649";"10230651";"8737"
"5613332";"10276356";"37142"
"11216470";"10283108";"12845"
"11228730";"10283108";"16185"
"11228731";"10283108";"25153"
"11228732";"10283108";"45124"
"11228733";"10283108";"45128"
"11228734";"10283108";"45295"
"11228735";"10283108";"45304"
"11228736";"10283108";"52270"
"9418748";"10288060";"51351"
"6608602";"10341538";"50620"
"11216428";"10392752";"45815"
"8894193";"10508718";"45869"
"4658599";"10509865";"22457"
"41781340";"10509879";"47804"
"41781383";"10524207";"45216"
"6008015";"10542539";"50293"
"11216391";"10564638";"15704"
"5503494";"10691874";"48513"
"10517754";"10846731";"45859"
"5293415";"10855783";"48353"
"6080113";"10915130";"45989"
"6158021";"11017782";"48527"
"37270421";"11105165";"48338"
"11036496";"11285965";"46125"
"1104367";"11290907";"45989"
"10882809";"11301885";"48356"
"1683078";"11305507";"45989"
"10530482";"11571688";"28036"
"10530483";"11571688";"45821"
"10530484";"11571688";"48417"
"10530485";"11571688";"48430"
"10530486";"11571688";"48470"
"9429815";"11585987";"47881"
"9429816";"11585987";"47958"
"9429817";"11585987";"48172"
"9429818";"11585987";"48293"
"10005483";"11775192";"45989"
"17554796";"11811783";"47640"
"4657980";"11843197";"50151"
"12624177";"11927279";"45859"
"9350054";"11931211";"48561"
"49394409";"12020170";"36112"
"49394410";"12020170";"36137"
"49394411";"12020170";"36574"
"49394412";"12020170";"36595"
"49394413";"12020170";"39595"
"49394414";"12020170";"39804"
"49394415";"12020170";"39817"
"49394416";"12020170";"43296"
"49394417";"12020170";"43305"
"49394418";"12020170";"43313"
"49394419";"12020170";"43331"
"49394420";"12020170";"43334"
"49394421";"12020170";"43336"
"49394422";"12020170";"43339"
"49394423";"12020170";"45181"
"49394424";"12020170";"45202"
"6117467";"12071707";"48776"
"1772587";"12078030";"22278"
"1772588";"12078030";"22434"
"4886604";"12082959";"48338"
"13126028";"12133587";"51987"
"14398939";"12185587";"45989"
"4938578";"12189957";"39554"
"4969821";"12213101";"45989"
"4948242";"12371135";"48402"
"2373340";"12373927";"47958"
"4993381";"12432358";"47640"
"7876220";"12463415";"48776"
"5460979";"12477007";"45989"
"12367958";"12493971";"22598"
"2175560";"12525769";"47701"
"2123762";"12545201";"49913"
"19165153";"12572198";"48051"
"5424665";"12617225";"43024"
"5424663";"12617225";"43063"
"5424666";"12617225";"43072"
"5424667";"12617225";"43106"
"5424668";"12617225";"43118"
"5424664";"12617225";"43219"
"5401346";"12708243";"48478"
"15149575";"12763201";"48338"
"5950279";"12769975";"50331"
"6108579";"12817825";"39551"
"18489648";"12824058";"48338"
"5419462";"12841609";"48776"
"5612730";"12871021";"45989"
"1268955";"12901459";"48489"
"1270483";"12946138";"11940"
"1270482";"12946138";"11958"
"1270484";"12946138";"11978"
"1270517";"12946143";"12044"
"13018884";"12956808";"45862"
"4951444";"12964042";"7897"
"1183600";"12971252";"12033"
"8998008";"13013019";"51351"
"5665593";"13013272";"48338"
"5624446";"13054495";"48592"
"5820811";"13064515";"48592"
"9446744";"13188341";"45886"
"6069529";"13193615";"47911"
"6069527";"13193615";"47918"
"6069528";"13193615";"48359"
"6069530";"13193615";"48426"
"18868690";"13216364";"48261"
"6612124";"13218453";"45989"
"42969639";"13270354";"22259"
"42969640";"13270354";"22301"
"42969641";"13270354";"22341"
"42969642";"13270354";"22357"
"42969643";"13270354";"22364"
"42969644";"13270354";"22366"
"42969645";"13270354";"22368"
"42969780";"13328581";"22366"
"5762179";"13367611";"10212"
"13264706";"13434181";"46011"
"4552773";"13500820";"48776"
"13334534";"13524966";"45989"
"14470120";"13526250";"48438"
"14470121";"13526250";"48520"
"11290521";"13786033";"22281"
"9439944";"13861134";"45859"
"11214045";"14028992";"16227"
"11244372";"14028992";"16399"
"2170570";"14164569";"36578"
"2170569";"14164569";"36585"
"2170571";"14164569";"36586"
"17089542";"14209764";"50151"
"18088356";"14332274";"46004"
"3583358";"14510197";"23801"
"13125128";"14562269";"22366"
"13585467";"14562854";"22356"
"14866750";"14591367";"48592"
"6155295";"14673680";"48247"
"7566851";"14686202";"48527"
"11365541";"14689288";"48592"
"10981027";"14689918";"48592"
"6613670";"14689952";"48592"
"5608264";"14728528";"48590"
"10981002";"14728531";"48590"
"13659956";"14745812";"48592"
"1363345";"14746771";"48592"
"7464866";"14762337";"48592"
"8536185";"14776961";"48577"
"3260898";"14795526";"7897"
"3260899";"14795526";"7903"
"3260900";"14795526";"7906"
"3260897";"14795526";"7913"
"3260896";"14795526";"7914"
"3260901";"14795526";"7918"
"3260902";"14795526";"7924"
"3260903";"14795526";"7933"
"3260904";"14795526";"7936"
"3260905";"14795526";"7938"
"3260906";"14795526";"7944"
"3260907";"14795526";"7946"
"3260908";"14795526";"7968"
"3260909";"14795526";"7969"
"3260910";"14795526";"7975"
"9015725";"14831571";"10835"
"9015726";"14831571";"10889"
"3630428";"14853984";"7895"
"3089010";"14895154";"50005"
"2163263";"14909484";"50348"
"9350450";"14933447";"48561"
"15601935";"14974645";"47809"
"1364825";"15035604";"45989"
"1974875";"15061533";"47899"
"1974877";"15061533";"47907"
"1974876";"15061533";"47922"
"6719754";"15135953";"51924"
"9015959";"15136794";"11925"
"6127463";"15174425";"45989"
"2302646";"15175806";"50593"
"24321401";"15186135";"11122"
"10812323";"15211188";"50869"
"5955168";"15225888";"21100"
"6119787";"15230979";"10838"
"6119788";"15230979";"10876"
"9951805";"15269272";"48478"
"8623582";"15281191";"51354"
"9951852";"15350670";"48776"
"12835935";"15362396";"49937"
"12834727";"15362397";"49937"
"7378058";"15369531";"48402"
"1108658";"15393881";"22239"
"1108659";"15393881";"22242"
"1277254";"15400298";"49937"
"5818294";"15403699";"48590"
"953658";"15433877";"22226"
"8857291";"16004467";"43020"
"9897255";"16007572";"10832"
"19376424";"16021840";"22601"
"3265417";"16042013";"41817"
"7378588";"16045588";"46004"
"3265500";"16094096";"39544"
"8878267";"16105784";"45989"
"14886284";"16116088";"1054"
"3265732";"16116088";"39560"
"6621152";"16116364";"45989"
"270408";"16141836";"1042"
"270407";"16141836";"1103"
"18877532";"16141836";"37107"
"263925";"16142909";"1042"
"263924";"16142909";"1103"
"16928739";"16142909";"37107"
"5950990";"16161085";"50671"
"8524264";"16229429";"48776"
"3359073";"16252686";"48530"
"4455944";"16252692";"48530"
"8654244";"16291957";"22312"
"4456061";"16293523";"48530"
"2921637";"16294624";"48530"
"9341360";"16324976";"45871"
"10814335";"16448552";"50772"
"4215300";"16472342";"48461"
"8655940";"16508329";"46007"
"8655941";"16508329";"47892"
"6624529";"16508867";"46007"
"6624530";"16508867";"47892"
"4457005";"16515382";"45989"
"13209569";"16521789";"48666"
"4457090";"16535779";"48527"
"9992804";"16571902";"50878"
"7273386";"16594733";"48529"
"7273461";"16594743";"48529"
"4563366";"16595530";"48478"
"4563367";"16595530";"48522"
"4563368";"16595530";"48527"
"14869157";"16608555";"22603"
"1600386";"16619851";"39558"
"9381298";"16646046";"45859"
"9381299";"16646726";"48478"
"3902454";"16745206";"45859"
"10252060";"16752706";"48768"
